,harga,judul,kota,link,tanggal
0,Rp 2.200.000,Jasa Poles dan Coating Mobil/Motor Panggilan HARGA PROMO RAMADHAN!,Banda Aceh Kota,https://www.olx.co.id/iklan/jasa-poles-dan-coating-mobil-motor-panggilan-harga-promo-ramadhan-IDzvzDk.html?ad_type=HL#773885e671;promoted,7  Mei
1,Rp 261.000.000,[Mobil Baru] Honda Jazz Promo Honda Spesial Bulan Ini,Bekasi Kota,https://www.olx.co.id/iklan/mobil-baru-honda-jazz-promo-honda-spesial-bulan-ini-IDzwNVc.html?ad_type=HL#773885e671;promoted,6  Mei
2,Rp 200.000,"Salon Mobil ,Paint Protection ,Nano Coating dan Poles Body Panggilan",Surabaya Kota,https://www.olx.co.id/iklan/salon-mobil-paint-protection-nano-coating-dan-poles-body-panggilan-IDzwnAw.html?ad_type=HL#773885e671;promoted,5  Mei
3,Rp 500.000,header ya bos buat mobil agan barang d sesuaikan jenis tipe mobil ya,Purbalingga Kab.,https://www.olx.co.id/iklan/header-ya-bos-buat-mobil-agan-barang-d-sesuaikan-jenis-tipe-mobil-ya-IDzyYBU.html?ad_type=OR#773885e671,11:22
4,Rp 5.600.000,velg mobil hiroshima ring 17 lobang 10 bisa cash/credit,Pekanbaru Kota,https://www.olx.co.id/iklan/velg-mobil-hiroshima-ring-17-lobang-10-bisa-cash-credit-IDzyYFR.html?ad_type=OR#773885e671,11:22
5,Rp 4.200.000,velg mobil fortuner tipe keeler hsr r15 hole 6 import,Gunung Sitoli Kota,https://www.olx.co.id/iklan/velg-mobil-fortuner-tipe-keeler-hsr-r15-hole-6-import-IDzyYFZ.html?ad_type=OR#773885e671,11:22
6,Rp 5.300.000,"velg mobil murah dikota bogor-ARROW JD803 HSR R17X7 H8X100-114,3 ET45",Bogor Kab.,https://www.olx.co.id/iklan/velg-mobil-murah-dikota-bogor-arrow-jd803-hsr-r17x7-h8x100-114-3-et45-IDzyYFe.html?ad_type=OR#773885e671,11:22
7,Rp 6.000.000,Cash atau kredit velg Ring 17 bisa untuk mobil livina xenia jazz Yaris,Bandung Kota,https://www.olx.co.id/iklan/cash-atau-kredit-velg-ring-17-bisa-untuk-mobil-livina-xenia-jazz-yaris-IDzyYEg.html?ad_type=OR#773885e671,11:22
8,Rp 15.900.000,"#Android Mobile Gan ,, IPhone Xs Max 64gb Asli apple 100% Inter",Jakarta Selatan,https://www.olx.co.id/iklan/android-mobile-gan-iphone-xs-max-64gb-asli-apple-100-inter-IDzyYEI.html?ad_type=OR#773885e671,11:22
9,Rp 4.000.000,velek mobil ne7 R15 rata 65 jakarta selatan,Jakarta Selatan,https://www.olx.co.id/iklan/velek-mobil-ne7-r15-rata-65-jakarta-selatan-IDzyYF4.html?ad_type=OR#773885e671,11:22
10,Rp 325.000,kikim vrsi jawon | Sillplate Belakang Activo Mobil : X-PANDER,Yogyakarta Kota,https://www.olx.co.id/iklan/kikim-vrsi-jawon-sillplate-belakang-activo-mobil-x-pander-IDzyVS7.html?ad_type=OR#773885e671,11:22
11,Rp 12.000,jasa sewa mobil L300 di bali,Denpasar Kota,https://www.olx.co.id/iklan/jasa-sewa-mobil-l300-di-bali-IDzyYE3.html?ad_type=OR#773885e671,11:22
12,Rp 275.000,kikim vrsi jawon | Talang Air Slim Mobil : X-PANDER,Yogyakarta Kota,https://www.olx.co.id/iklan/kikim-vrsi-jawon-talang-air-slim-mobil-x-pander-IDzyXSo.html?ad_type=OR#773885e671,11:22
13,Rp 4.300.000,velg mobil hsr tipe kawai01 ring 15 pcd 4x100 racing altis corolla,Gunung Sitoli Kota,https://www.olx.co.id/iklan/velg-mobil-hsr-tipe-kawai01-ring-15-pcd-4x100-racing-altis-corolla-IDzyYCn.html?ad_type=OR#773885e671,11:21
14,Rp 400.000,kaca film mobil barang original,Jakarta Selatan,https://www.olx.co.id/iklan/kaca-film-mobil-barang-original-IDzyYCB.html?ad_type=OR#773885e671,11:21
15,Rp 4.200.000,velg mobil racing Jungle HSR ring 15 hole 6 import triton everest dll,Gunung Sitoli Kota,https://www.olx.co.id/iklan/velg-mobil-racing-jungle-hsr-ring-15-hole-6-import-triton-everest-dll-IDzyYBx.html?ad_type=OR#773885e671,11:21
16,Rp 5.600.000,Velg Mobil Murah OSTER JD106 HSR Ring 17,Padang Kota,https://www.olx.co.id/iklan/velg-mobil-murah-oster-jd106-hsr-ring-17-IDzyYAP.html?ad_type=OR#773885e671,11:21
17,Rp 4.000.000,velg mobil yaris tipe emission jd5178 hsr ring 15 hole 4x100 Venice,Gunung Sitoli Kota,https://www.olx.co.id/iklan/velg-mobil-yaris-tipe-emission-jd5178-hsr-ring-15-hole-4x100-venice-IDzyYAL.html?ad_type=OR#773885e671,11:20
18,Rp 4.500.000,velg mobil 142 HSR R16X7 H4X100 ET42 SATIN BLACK,Cirebon Kota,https://www.olx.co.id/iklan/velg-mobil-142-hsr-r16x7-h4x100-et42-satin-black-IDzyYAl.html?ad_type=OR#773885e671,11:20
19,Rp 239.500.000,[Mobil Baru] HONDA JAZZ 2019 DAPAT THR MELIMPAH,Bandung Kota,https://www.olx.co.id/iklan/mobil-baru-honda-jazz-2019-dapat-thr-melimpah-IDzu4T9.html?ad_type=HL#773885e671;promoted,3  Mei
20,Rp 550.000,credit audio mobil lian mandiri,Depok Kota,https://www.olx.co.id/iklan/credit-audio-mobil-lian-mandiri-IDzpQ4P.html?ad_type=HL#773885e671;promoted,26  Apr
21,Rp 200.000,poles salon mobil panggilan,Surabaya Kota,https://www.olx.co.id/iklan/poles-salon-mobil-panggilan-IDz0Dfw.html?ad_type=HL#773885e671;promoted,15  Mar
22,Rp 500.000,header ya bos buat mobil agan barang d sesuaikan jenis tipe mobil ya,Purbalingga Kab.,https://www.olx.co.id/iklan/header-ya-bos-buat-mobil-agan-barang-d-sesuaikan-jenis-tipe-mobil-ya-IDzyYBU.html?ad_type=OR#773885e671,11:22
23,Rp 5.600.000,velg mobil hiroshima ring 17 lobang 10 bisa cash/credit,Pekanbaru Kota,https://www.olx.co.id/iklan/velg-mobil-hiroshima-ring-17-lobang-10-bisa-cash-credit-IDzyYFR.html?ad_type=OR#773885e671,11:22
24,Rp 4.200.000,velg mobil fortuner tipe keeler hsr r15 hole 6 import,Gunung Sitoli Kota,https://www.olx.co.id/iklan/velg-mobil-fortuner-tipe-keeler-hsr-r15-hole-6-import-IDzyYFZ.html?ad_type=OR#773885e671,11:22
25,Rp 5.300.000,"velg mobil murah dikota bogor-ARROW JD803 HSR R17X7 H8X100-114,3 ET45",Bogor Kab.,https://www.olx.co.id/iklan/velg-mobil-murah-dikota-bogor-arrow-jd803-hsr-r17x7-h8x100-114-3-et45-IDzyYFe.html?ad_type=OR#773885e671,11:22
26,Rp 6.000.000,Cash atau kredit velg Ring 17 bisa untuk mobil livina xenia jazz Yaris,Bandung Kota,https://www.olx.co.id/iklan/cash-atau-kredit-velg-ring-17-bisa-untuk-mobil-livina-xenia-jazz-yaris-IDzyYEg.html?ad_type=OR#773885e671,11:22
