,gambar,harga,judul,kota,tanggal
0,https://apollo-singapore.akamaized.net/v1/files/h3o60enxrnak2-ID/image;s=141x108;olx-st/_1_.jpg,Rp 63.500,Pashmina Instan Ariani Original Ivory Hijab,Depok Kota,kemarin
1,https://apollo-singapore.akamaized.net/v1/files/1yif65zbmkhf-ID/image;s=141x108;olx-st/_1_.jpg,Rp 35.000,hijab / kerudung pashmina malay,Surabaya Kota,kemarin
2,https://apollo-singapore.akamaized.net/v1/files/lxd6wfjx2qj3-ID/image;s=141x108;olx-st/_1_.jpg,Rp 55.000,Hijab Pashmina Hawa Square Punch,Makassar Kota,8  Mei
3,https://apollo-singapore.akamaized.net/v1/files/sk83iratna8x-ID/image;s=141x108;olx-st/_1_.jpg,Rp 30.000,hijab pashmina,Medan Kota,8  Mei
4,https://apollo-singapore.akamaized.net/v1/files/nmeocjk9yzs6-ID/image;s=141x108;olx-st/_1_.jpg,Rp 50.000,jilbab instan|hijab instan|kerudung|pashmina|jilbab pesta,Surabaya Kota,6  Mei
5,https://apollo-singapore.akamaized.net/v1/files/bvavqab82fet3-ID/image;s=141x108;olx-st/_1_.jpg,Rp 25.000,Hijab crinkle pashmina,Sidoarjo  Kab.,3  Mei
6,https://apollo-singapore.akamaized.net/v1/files/tquc24eugqth1-ID/image;s=141x108;olx-st/_1_.jpg,Rp 50.000,Preloved Hijab Pashmina,Medan Kota,1  Mei
7,https://apollo-singapore.akamaized.net/v1/files/0mw44vclm9zq2-ID/image;s=141x108;olx-st/_1_.jpg,Rp 25.000,Hijab Pashmina Cinderella,Tangerang Kota,1  Mei
8,https://apollo-singapore.akamaized.net/v1/files/9hr0l9909sot2-ID/image;s=141x108;olx-st/_1_.jpg,Rp 45.000,Hijab Pashmina Voal,Tangerang Kota,1  Mei
9,https://apollo-singapore.akamaized.net/v1/files/mxql6heaa629-ID/image;s=141x108;olx-st/_1_.jpg,Rp 20.000,Pashmina Hijab Excecutive,Medan Kota,30  Apr
10,https://apollo-singapore.akamaized.net/v1/files/itsbbx9ne5gj3-ID/image;s=141x108;olx-st/_1_.jpg,Rp 24.000,Hijab Pashmina Diamond Italiano,Malang Kab.,30  Apr
11,https://apollo-singapore.akamaized.net/v1/files/zeoas9t564dq2-ID/image;s=141x108;olx-st/_1_.jpg,Rp 27.000,pashmina Hijab Kerudung ukuran 180x75 warna warni bisa gojek Grab,Surabaya Kota,29  Apr
12,https://apollo-singapore.akamaized.net/v1/files/o51qtox8htju1-ID/image;s=141x108;olx-st/_1_.jpg,Rp 65.000,Quillavers Hijab Pashmina Haruka,Jakarta Barat,28  Apr
13,https://apollo-singapore.akamaized.net/v1/files/r1bkrwtc7g9o2-ID/image;s=141x108;olx-st/_1_.jpg,Rp 25.000,Jilbab Pashmina Chiffon-hijab sifon-pasmina hijab-jilbab segi empat,Malang Kota,27  Apr
14,https://apollo-singapore.akamaized.net/v1/files/zi2moco09j93-ID/image;s=141x108;olx-st/_1_.jpg,Rp 30.000,Lune Luxury Cotton Simple Motif Pashmina Scarf Hijab Brown,Semarang Kota,27  Apr
15,https://apollo-singapore.akamaized.net/v1/files/sryajlpm9r5z1-ID/image;s=141x108;olx-st/_1_.jpg,Rp 10.000,hijab segi empat dan pashmina,Bandung Kota,26  Apr
